Date,Adj Close_MSFT,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,Ticker,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,SMA_20,EMA_20,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,CCI_14_0.015,STOCHk_14_3_3,STOCHd_14_3_3,ADX_14,DMP_14,DMN_14,WILLR_14
2023-08-28,319.4185485839844,323.70001220703125,326.1499938964844,321.7200012207031,325.6600036621094,14808500,MSFT,45.75888929881272,-5.9404391588307135,1.948914902682664,-7.8893540615133775,323.9130004882812,326.23405673287243,318.68623497553205,323.2220031738281,327.7577713721242,2.8065961808031625,0.5526932828470719,56.86813998725473,49.774500547549984,50.94194431147082,14.417366388574111,22.614223741075605,19.505535981647828,-43.303727184824105
2023-08-29,324.06622314453125,328.4100036621094,328.9800109863281,321.8800048828125,321.8800048828125,19284600,MSFT,51.52999496518858,-5.086942798773862,2.2419290101916136,-7.328871808965475,323.51650085449216,326.44128977375215,318.4139626283946,324.41200561523436,330.41004860207414,3.6977934743596985,0.8332752079008906,125.9196460302226,62.90250382478021,55.12800805098925,14.421760365530423,24.002255392258583,17.935568730362903,-21.325256081080123
2023-08-30,324.44122314453125,328.7900085449219,329.80999755859375,326.45001220703125,328.6700134277344,15222100,MSFT,51.973972361266,-4.329964431453448,2.3991259020096223,-6.72909033346307,323.5810012817383,326.6649772757683,318.0291457657194,324.77000732421874,331.51086888271806,4.151160148092061,0.798181559272231,157.06871209207864,71.93966554593368,61.538889972754625,14.60492084421987,24.029831423480317,17.22884103001237,-19.552020096294743
2023-08-31,323.4248352050781,327.760009765625,330.9100036621094,326.7799987792969,329.20001220703125,26411000,MSFT,50.62050895377372,-3.7697110328249437,2.367503440510501,-6.137214473335445,323.63600158691406,326.7692660843261,321.38333694551886,326.3280090332031,331.27268112088734,3.030491990150395,0.6448023960970639,130.63271244623598,78.2547894602681,71.03231961032733,15.00647812607588,24.158954973056947,16.37474001276246,-24.358355441820855
2023-09-01,324.3128662109375,328.6600036621094,331.989990234375,326.7799987792969,331.30999755859375,14931200,MSFT,51.801593070211524,-3.2160120075949408,2.3369619725924036,-5.552973980187344,323.6800018310547,326.9493363298293,323.6337206614671,327.46400756835936,331.2942944752516,2.339363605383504,0.6561235649995212,119.1729105450338,78.6436520040994,76.27936900343373,15.598442924240972,23.942539345879283,15.341520255002601,-20.158668449586237
2023-09-05,329.1382141113281,333.54998779296875,334.8500061035156,328.6600036621094,329.0,18553900,MSFT,57.719007207465395,-2.355468316333713,2.558004531082905,-4.913472847416618,323.852001953125,327.57796980250924,325.2573090035145,329.4340026855469,333.6106963675793,2.5356785565448554,0.9927324602625631,148.37864256470561,83.30116758853698,80.06653635096816,16.70558094056764,25.60552134299213,14.195462928998522,-5.579473342981944
2023-09-06,328.47711181640625,332.8800048828125,334.4599914550781,330.17999267578125,333.3800048828125,17535800,MSFT,56.692026649171275,-1.7078561599867612,2.564493349943886,-4.272349509930647,324.19350280761716,328.0829255244429,325.54167760828676,330.3280029296875,335.11432825108824,2.897922839693091,0.7665930313715226,123.59467490814241,88.60230799681428,83.51570919648356,17.705645445441952,24.256250542599737,13.447439744014927,-8.454934216988974
2023-09-07,325.5463562011719,329.9100036621094,333.0799865722656,329.0299987792969,331.2900085449219,18381000,MSFT,52.2535234605303,-1.4179281444435219,2.2835370923897003,-3.701465236833222,324.57750244140624,328.2569329661254,325.97426832605817,330.552001953125,335.12973558019183,2.769750962038339,0.42987815114233907,82.544486018675,88.25462729509252,86.71936762681459,18.1980015368892,23.020110552161412,14.209192792693708,-21.201710554751507
2023-09-08,329.84869384765625,334.2699890136719,336.1600036621094,329.4599914550781,330.0899963378906,19530100,MSFT,57.512366207721676,-0.8268127407514498,2.299721996865418,-3.126534737616868,325.1445022583008,328.8296049706537,327.4953927143323,331.8539978027344,336.2126028911365,2.6268209015176653,0.7771518825330421,118.06621543519584,86.81944628406364,87.89212719199014,19.27326487932285,24.93038172929302,13.026484162997352,-9.88501637606859
2023-09-11,333.47015380859375,337.94000244140625,338.4200134277344,335.42999267578125,337.239990234375,16583300,MSFT,61.3693529429568,-0.06150116538145767,2.4520268577883284,-2.513528023169786,325.99100189208986,329.6972618726301,328.54387899095366,333.7099975585937,338.8761161262338,3.096172488349252,0.9093987417660865,168.6058879488886,88.82224569658297,87.9654397585797,20.660144645529865,26.48357442085817,12.341267574511166,-2.446535979430997
2023-09-12,327.38177490234375,331.7699890136719,336.7900085449219,331.4800109863281,335.82000732421875,17565500,MSFT,52.70663747754013,0.046607985364175875,2.0481088068271696,-2.0015008214629937,326.3775009155273,329.8946644574913,327.95286257265104,333.3539978027344,338.75513303281775,3.240480249635123,0.3533633466312899,79.83624958290362,84.59146058860489,86.7443841897505,20.59046287982435,24.337509926373087,16.296044118665982,-33.89406587868579
2023-09-13,331.6150207519531,336.05999755859375,336.8500061035156,331.1700134277344,331.30999755859375,16544400,MSFT,57.227524209211424,0.47300064568156586,1.9796011737156476,-1.5066005280340817,327.0875015258789,330.4818390385487,328.22523289615043,333.9899963378906,339.7547597796308,3.4520575495968346,0.6795391295430407,89.37807285486095,83.8769302239249,85.7635455030376,20.429875274878523,22.603163272481247,15.523679663827295,-12.028607470108522
2023-09-14,334.2200927734375,338.70001220703125,340.8599853515625,336.57000732421875,339.1499938964844,20267000,MSFT,59.77578500658573,1.0122781076782417,2.015102908569859,-1.0028248008916172,328.00250244140625,331.2645221974518,330.7180333445577,335.747998046875,340.77796274919234,2.9962738313126605,0.7934428306023928,139.31141525200383,81.42865650601075,83.29901577284686,21.08143669263485,26.3145563535716,14.5782234748669,-9.791357133173417
2023-09-15,325.8522644042969,330.2200012207031,337.3999938964844,329.6499938964844,336.9200134277344,37666900,MSFT,49.561681042509086,0.7467848940062822,1.3996877559183196,-0.6529028619120374,328.6695022583008,331.16504400919,328.20186277493275,334.93800048828126,341.6741382016298,4.02231917759609,0.14979937552131528,18.544772481614324,74.19656186409209,79.83404953134259,19.78695239224829,23.418542663605425,21.388989777736388,-55.5903498044418
2023-09-18,324.7076110839844,329.05999755859375,330.3999938964844,326.3599853515625,327.79998779296875,16834200,MSFT,48.344733699396116,0.4377311165850415,0.8725071827976631,-0.4347760662126216,329.2985015869141,330.9645633948475,325.86885508766744,333.16199951171876,340.4551439357701,4.378137023274041,0.21877685984131648,-77.93686566279683,57.482529131640206,71.03591583391436,18.610335314971774,22.241772981537814,24.406305112280744,-62.170705667464176
2023-09-19,324.3030090332031,328.6499938964844,329.3900146484375,324.510009765625,326.1700134277344,16505900,MSFT,47.897074202157555,0.1578997325501632,0.47414063901022785,-0.31624090646006464,329.63700103759766,330.7441282045272,324.3912920964671,332.5380004882812,340.68470888009534,4.8997157496899115,0.26137561302037304,-109.26312250473664,35.853328732105375,55.84413990927922,17.90319197057251,20.87711227019979,25.234791388300295,-74.6789583317779
2023-09-20,316.52728271484375,320.7699890136719,329.5899963378906,320.510009765625,329.510009765625,21436500,MSFT,40.19371404682154,-0.6917451855653667,-0.30040342328424163,-0.39134176228112505,329.55250091552733,329.7942101863505,318.08576056977853,329.47999877929686,340.8742369888152,6.916497664036231,0.11778885058112261,-172.25765203554832,21.47595894529194,38.270605603012505,17.984903287454163,18.591421310546043,27.29505937489281,-98.72245916488211
2023-09-21,315.3037109375,319.5299987792969,325.3500061035156,315.0,319.260009765625,35529500,MSFT,39.127295930441306,-1.4484548673373752,-0.8456904840450001,-0.602764383292375,329.1790008544922,328.8166662428216,316.57817166238596,325.64599609375,334.71382052511404,5.569130000145013,0.1627637995890755,-194.36618622644178,14.70532969926135,24.011539125552886,18.89447639651014,16.388824654415945,30.368473806265218,-82.48259340555595
2023-09-22,312.8170471191406,317.010009765625,321.45001220703125,316.1499938964844,321.32000732421875,21447900,MSFT,36.97995585128636,-2.2258367345760917,-1.2984578810269731,-0.9273788535491184,329.03100128173827,327.6922227688029,313.14337867381255,323.0039978027344,332.8646169316562,6.105570950204723,0.1960643161072602,-168.88122138559868,8.855870468527385,15.012386371026892,19.730491649603337,15.383733223685116,28.50604050609403,-92.2273360239798
2023-09-25,313.3399963378906,317.5400085449219,317.6700134277344,315.0,316.5899963378906,17836000,MSFT,37.75369659329834,-2.7672518363767153,-1.4718983862620774,-1.295353450114638,328.75900115966795,326.72534522367135,312.3010582476804,320.7,329.0989417523196,5.237880731100478,0.3118815710202188,-144.2931532154634,11.704076093370153,11.755092087052963,20.66713245341027,14.888367888656214,28.975031691391315,-90.1778422903538
2023-09-26,308.0114440917969,312.1400146484375,315.8800048828125,310.0199890136719,315.1300048828125,26297600,MSFT,33.2714879464557,-3.5906705678617072,-1.8362536941976555,-1.7544168736640517,328.1810012817383,325.3362661212681,311.48308460678163,317.39800415039065,323.31292369399966,3.7271308995417556,0.05553161262909081,-147.66915877710676,8.156364996074958,9.572103852657499,22.186333423734073,13.563629847214449,32.2893171907299,-93.12572669744152
2023-09-27,308.6528015136719,312.7900085449219,314.29998779296875,309.69000244140625,312.29998779296875,19410100,MSFT,34.28286226272698,-4.143028515968183,-1.9108893138433047,-2.2321392021248783,327.4000015258789,324.14138444733044,310.0846544426192,315.8020080566406,321.519361670662,3.6208469029088537,0.2365914621467523,-120.20678044662738,8.88063880834963,9.58035996593158,23.62601052125701,12.811082213281825,30.894966922354154,-90.0545145871558
